iter	Logloss
0	0.5531385551
1	0.4484995824
2	0.3699744448
3	0.3131070818
4	0.2721511495
5	0.2426684067
6	0.2183292603
7	0.2009899279
8	0.1878608315
9	0.1783955136
10	0.1710166093
11	0.1649434841
12	0.1605017711
13	0.1569057143
14	0.1539355531
15	0.1514644026
16	0.1497484712
17	0.1481350543
18	0.1468464609
19	0.1457393328
20	0.1448159681
21	0.1441633776
22	0.143453275
23	0.142901228
24	0.1424598981
25	0.1420247557
26	0.1416613837
27	0.1412622654
28	0.1410188495
29	0.1408095916
30	0.1405068677
31	0.1402992566
32	0.1401379329
33	0.1399059212
34	0.1397642174
35	0.1396087743
36	0.1394872875
37	0.1393578229
38	0.1392824993
39	0.1391921472
40	0.1390760757
41	0.1389940596
42	0.1389012353
43	0.1388229844
44	0.1387481445
45	0.1386833337
46	0.1385824055
47	0.1385059304
48	0.1384181338
49	0.1383373452
50	0.1382629489
51	0.1381736231
52	0.1381273816
53	0.1380615108
54	0.1380042139
55	0.1379475722
56	0.1378653021
57	0.1378108039
58	0.1377281261
59	0.1376690815
60	0.1376141071
61	0.137564815
62	0.1375030565
63	0.1374707217
64	0.1373976141
65	0.1373466813
66	0.137310465
67	0.1372575217
68	0.1372178845
69	0.137185972
70	0.1371515872
71	0.1371136366
72	0.1370421585
73	0.136999034
74	0.136949227
75	0.1369041754
76	0.1368784605
77	0.1368495571
78	0.1367863905
79	0.1367411032
80	0.1367185074
81	0.1366852708
82	0.1366638481
83	0.1366420385
84	0.1366106421
85	0.1365680859
86	0.1365148553
87	0.1364715458
88	0.1364362161
89	0.1364003476
90	0.1363609779
91	0.1363270854
92	0.1362850735
93	0.1362518025
94	0.1362288018
95	0.1362023883
96	0.1361529768
97	0.1361183316
98	0.1360750854
99	0.1360566176
100	0.1360041271
101	0.1359912438
102	0.1359519544
103	0.1359459055
104	0.1359169625
105	0.1358968572
106	0.1358659023
107	0.135836813
108	0.1358114968
109	0.1357752997
110	0.135738211
111	0.1357103403
112	0.1357015369
113	0.1356710261
114	0.135642315
115	0.135592238
116	0.1355820692
117	0.1355519003
118	0.1355252203
119	0.1354892812
120	0.1354586405
121	0.1354232171
122	0.1353826501
123	0.1353455402
124	0.1353155211
125	0.1352802727
126	0.1352604301
127	0.1352306725
128	0.1351730441
129	0.1351396964
130	0.1351238109
131	0.1350852961
132	0.1350427654
133	0.135006745
134	0.1349689822
135	0.1349427658
136	0.134901863
137	0.1348957113
138	0.1348819475
139	0.1348491893
140	0.13482732
141	0.1347999107
142	0.1347781755
143	0.134775958
144	0.1347218951
145	0.1347094265
146	0.1346646515
147	0.1346416725
148	0.1346195248
149	0.1345831847
150	0.134548527
151	0.1345308919
152	0.134510883
153	0.1345090496
154	0.1344567402
155	0.1344312465
156	0.1344071366
157	0.1343607591
158	0.1343571641
159	0.1343253562
160	0.1342968259
161	0.1342650989
162	0.1342322993
163	0.1342116591
164	0.1341897143
165	0.1341477642
166	0.1341300938
167	0.1341273777
168	0.1341145172
169	0.1340916387
